experiment_name,source_video,category,av_offset,min_dist,confidence
baseline_original_video,test98_pipeline.avi,baseline_original_video,2,8.159,5.387
baseline_wav2lip_original_audio,results_original_audio_wav2lip.mp4,baseline_wav2lip_original_audio,-2,7.463,7.159
dave_background_people_noise_wav2lip,results_noise/dave_background_people_noise_wav2lip.mp4,noisy_wav2lip_dave_audio,-2,8.873,5.184
dave_cat_meow_wav2lip,results_noise/dave_cat_meow_wav2lip.mp4,noisy_wav2lip_dave_audio,-2,9.543,5.236
dave_guitar_music_wav2lip,results_noise/dave_guitar_music_wav2lip.mp4,noisy_wav2lip_dave_audio,-2,8.443,5.583
dave_piano_music_wav2lip,results_noise/dave_piano_music_wav2lip.mp4,noisy_wav2lip_dave_audio,-2,8.339,5.778
dave_violin_music_wav2lip,results_noise/dave_violin_music_wav2lip.mp4,noisy_wav2lip_dave_audio,-2,7.972,6.498
original_background_people_noise_wav2lip,results_original_noise/original_background_people_noise_wav2lip.mp4,noisy_wav2lip_original_audio,-2,8.656,4.592
original_cat_meow_wav2lip,results_original_noise/original_cat_meow_wav2lip.mp4,noisy_wav2lip_original_audio,-2,9.083,5.081
original_guitar_music_wav2lip,results_original_noise/original_guitar_music_wav2lip.mp4,noisy_wav2lip_original_audio,-2,8.445,5.367
original_piano_music_wav2lip,results_original_noise/original_piano_music_wav2lip.mp4,noisy_wav2lip_original_audio,-2,8.224,5.248
original_violin_music_wav2lip,results_original_noise/original_violin_music_wav2lip.mp4,noisy_wav2lip_original_audio,-2,8.146,5.693
original_background_people_noise_DeepFilterNet3_wav2lip,denoise_experiment/wav2lip_results/original_background_people_noise_DeepFilterNet3_wav2lip.mp4,denoised_wav2lip_original_audio,-2,7.682,6.349
original_cat_meow_DeepFilterNet3_wav2lip,denoise_experiment/wav2lip_results/original_cat_meow_DeepFilterNet3_wav2lip.mp4,denoised_wav2lip_original_audio,-2,7.965,6.622
original_guitar_music_DeepFilterNet3_wav2lip,denoise_experiment/wav2lip_results/original_guitar_music_DeepFilterNet3_wav2lip.mp4,denoised_wav2lip_original_audio,-2,7.581,6.646
original_piano_music_DeepFilterNet3_wav2lip,denoise_experiment/wav2lip_results/original_piano_music_DeepFilterNet3_wav2lip.mp4,denoised_wav2lip_original_audio,-2,7.427,6.719
original_violin_music_DeepFilterNet3_wav2lip,denoise_experiment/wav2lip_results/original_violin_music_DeepFilterNet3_wav2lip.mp4,denoised_wav2lip_original_audio,-2,7.461,6.943
